GC,HDL,IFNb,IFNg,IFNg_TNF,IL10,IL13,IL4,IL4_upLPS,LA,LiA,OA,P3C,P3C_PGE2,PA,PGE2,SA,TNF,TNF_P3C,TNF_PGE2,TPP,TPP_IFNb,TPP_IFNb_IFNg,sLPS,sLPS_IC,sLPS_IFNg,upLPS,upLPS_IC
GLDN,LOC653352,C9orf38,GBP5,CSF1,HCFC1R1,ALOX15,ALOX15,ALOX15,MMP9,ACADVL,ACADVL,CTSL1,THBS1,MMP7,SPTLC3,MT1G,CCL5,LRG1,GBP5,RGS16,C1QTNF1,PAMR1,CXCR7,MYBPC3,GBP5,PCNX,SRPX
SRPX,YIPF6,ACY3,LOC400759,CCL5,SPOCD1,FOXQ1,FOXQ1,IL17RB,UCK2,PDK4,MT1G,CXCL1,SPTLC3,FAM82A2,LRP5,C15orf48,CD82,CXCR5,PCNX,NFS1,ZSWIM4,CXCR7,PTPRF,IL2RA,PCNX,ANG,TBL2
ZBTB16,MOGAT1,MGAT4B,CXCL9,C20orf123,P8,PPP1R14A,PPP1R14A,CCL26,FABP5,G6PD,MT1H,FJX1,LRP5,TIMP3,RBP1,METTL1,NFS1,ALPL,GBP4,CCL5,PCNX,PTPRF,FAM108C1,CXCR7,GCH1,RNASE4,LRG1
TBC1D16,PRPF40A,LOC732424,GBP1,IL2RG,ADAMTSL4,DHRS11,MAOA,WNT5A,MMP7,ACAA2,MARCKSL1,CXCL12,EMR3,HTRA4,PIP,MMP7,SLC5A3,CXCR7,RCN1,CYP27B1,FAM108C1,C1QTNF1,KIAA1199,PCNX,LOC399715,SPARC,MS4A6E
LOC647108,LOC642033,PITX2,GBP4,GBP4,CTSG,IL1R1,SOCS1,TGM2,ACADVL,MT1G,MT1X,C13orf18,VMO1,MCOLN3,ERRFI1,ACADVL,RCN1,NFS1,SLC5A3,GPR124,CXCR7,ZSWIM4,EMR3,MLLT6,MYBPC3,FTHL12,C1S
DAAM2,UHMK1,CNDP1,FAM26F,GPR124,CEACAM1,MAOA,HOMER2,GALNTL4,MT1G,AQP9,CPT1A,HIF1A,RBP1,ACADVL,THBS1,AQP9,ZSWIM4,FCAMR,CRISPLD2,SPARC,TRAF3IP2,FJX1,C1QTNF1,FAM108C1,MLLT6,CRISPLD2,DAAM2
TFCP2L1,MADCAM1,NRG2,CXCL10,CXCL9,GADD45G,CTNNAL1,RAB33A,FOXQ1,MARCKSL1,METTL1,ST14,ELL2,ERRFI1,METTL1,SERPINB2,RCN1,CTTN,G0S2,PRRX1,EDN1,KIAA1199,ILDR1,ZSWIM4,FPR2,PIM2,FTHL3,TGM2
ADAMTS2,ASXL2,HCRTR2,WARS,CYP27B1,NUPR1,RASL10A,GALNTL4,MAOA,PPAN,NRIP3,MT1A,PDK4,STAT4,FGR,SATB1,UCK2,MAP1LC3A,TSPYL3,ZSWIM4,F5,MAP1LC3A,FLJ42986,G0S2,CRISPLD2,SLC25A37,TSPAN3,LOC647108
CFH,GOLPH4,C6orf52,APOBEC3A,PPME1,ANXA11,ESPNL,CDR2L,LHFP,MATK,PLIN2,MT1F,RBP1,SLC16A10,TRIM9,PDK4,SELI,G0S2,PTPRF,APOL3,FAM119B,IL2RA,PDE4D,HIF1A,SLC25A37,APOL3,SLC11A1,GDF15
SESN1,LOC388458,GAGE1,SERPING1,GBP5,S100P,ACOT7,CTNNAL1,SOCS1,AQP9,C15orf48,PDK4,SLC16A10,SERINC2,MATK,SERINC2,MATK,CRISPLD2,PTGES,MRPS6,GUCY1B3,PTPRF,PCNX,MET,MAP1LC3A,SERPINB7,AQP9,BOK
PDGFD,HMGCR,C6orf134,IRF1,PARP3,ZNF16,SLC39A10,DHRS11,C17orf58,C15orf48,CPT1A,UCK2,MMP7,TFPI,LOC283050,SLC16A10,SPHK1,PTPRF,HIST1H1C,SSPN,BHLHB3,CRISPLD2,PTPN1,PIM2,LRRC38,PTGES,C3orf19,TBC1D16
METTL7A,ARID4B,LOC728081,RARRES3,TSPAN3,NGFRAP1,RTKN,ESPNL,CCL5,MRTO4,FABP4,MT2A,TFRC,RUNX3,ASPHD1,VTN,PHLDB1,ADARB1,EIF1B,ACVR1B,HOPX,CXCL13,FAM108C1,IL2RA,SLC5A3,GBP4,CXCL5,DHRS3
MFGE8,FBXW7,MOG,AIM2,NFS1,BOK,EGLN3,FCER2,UST,METTL1,MMP9,SLC25A20,CCL18,SERPINB2,C15orf48,IL18R1,MMP9,C20orf127,VEGFA,FTHL11,DIXDC1,GK5,IL2RA,TRAF3IP2,VNN3,VNN3,TRAF3IP2,NRIP1
PDGFC,CCDC110,TNXB,STAT1,CTTN,AGRP,IL1R2,CBR3,DHRS11,MT1H,ABCC3,NOLC1,RARRES1,PIM2,GDF15,STAT4,MT1H,ADAMDEC1,TM4SF1,ADAMDEC1,C20orf123,TNIP1,G0S2,PANX2,ZSWIM4,DTX2,WSB1,SEMA6B
AGRP,GAS2L3,RKHD1,IL27,FTHL3,TCEAL3,DTNA,PALLD,CCL18,NOLC1,MATK,MT1E,KIAA1199,HMGB3,NRIP3,CTSL1,MT1A,C1QTNF1,SLC5A3,RHBDF2,TSC22D1,SLC25A37,TRIP10,SLC25A37,VNN1,FPR2,CLDN23,IL2RA
PICK1,LOC727948,LOC653206,HAPLN3,TMEM132A,LOC401321,GALNTL4,BATF3,ACOT7,SPHK1,PUS7,C15orf48,MS4A7,PLEKHG2,GPC4,PBLD,ABCC3,MRPS6,HEY1,NSUN7,F3,ADARB1,MMP10,KL,FJX1,CPD,TUBG2,TTLL4
CPM,ITPRIPL2,C16orf90,ANKRD22,WARS,CTRL,HCFC1R1,ACOT7,PPP1R14A,MT1A,SEL1L,MMP9,CD59,CTSL1,AQP9,FAIM3,SLC6A6,PARP10,CDC42EP5,CD38,SLC35F2,CD82,EBF1,BMP6,PIM2,KL,NINJ1,SLC5A3
SAP30,AAK1,ZNF30,GCH1,RHBDF2,CDCA4,HOMER2,NMNAT3,PLAT,CCL24,UCK2,FABP5,CXCL5,GNA12,UCHL1,PCSK5,FREQ,MT1H,ZKSCAN2,MT1F,NCK2,PTPN1,FPR2,MPZL1,ADAMDEC1,FOXC1,SLC7A11,SYS1
PDK4,UGP2,IFI27,C9orf109,NCF1C,RNF126,MGC4677,RRP1B,CTNNAL1,RCN1,MGC4677,METTL1,STAT4,ATP13A3,FABP5,ANKRD9,LOC283050,TNIP1,TREM1,IKBKE,ACVR1B,FTH1,ADARB1,A4GALT,TSPAN7,TNFAIP6,LOC283050,CYB5A
EPDR1,PLEKHB2,MTTP,BPI,SLC29A1,FCGR3A,LOC643007,MGC4677,HOMER2,ABCC3,ST14,WDR4,FTHL2,SMOX,RCN1,RDH10,SLC7A11,SELM,NCK2,MT1E,G0S2,TRIP10,SFRS13B,PCNX,GHRL,C20orf160,ELF4,ANKRD33
FCGR3A,TAZ,UTP20,GBP2,TRIM56,LOC387934,NMNAT3,ANKRD20A1,CLEC4G,TM7SF4,SLC25A20,AQP9,FTHL3,CXCL5,MYOZ1,TFPI,MT1F,STOM,ZSWIM4,CTTN,RHBDF2,G0S2,A4GALT,SLC5A3,WDR52,CRISPLD2,BHLHB3,SOAT1
XLKD1,LOC730995,LYZL4,BATF2,FTHL11,TP53I13,TPM2,DUOXA1,FCER2,PHLDB1,MFSD10,SLC16A3,ELMO2,MS4A7,MGST1,VMO1,FABP5,PNKD,KIAA1881,GBP1,LOC85390,GADD45A,MAMLD1,LOC653778,DLL1,PLAGL2,FTHL11,PLIN2
MS4A6E,TSPAN12,LOC440013,VAMP5,MANBAL,LOC652541,CYLC2,RASL10A,ACPL2,TGM2,IMPAD1,EXOG,DLL1,LOC730744,FICD,SLC25A20,TPST1,RHBDF2,NRIP1,ISCU,FXYD2,MPZL1,MPZL1,VEGFA,SLC7A11,MAP1LC3A,ELL2,ENOSF1
ABLIM3,RSPRY1,MBLAC1,CD274,IKBKE,SEZ6L2,XPNPEP2,ITPRIPL1,METTL1,KIAA0020,WDR4,BCCIP,DUSP4,HIF1A,GNL3,IL18RAP,PTRH2,DRAM1,DLEU7,MT1H,EFTUD1,FTHL3,EMR3,MLLT6,KL,PANX2,SLC16A10,GLUL
FLRT2,FLJ20309,LOC644976,MDK,MITF,SPATA2L,RNU2-1,IL1R2,NFS1,EMR2,PAICS,MTE,VNN2,TFRC,ST6GALNAC4,EPAS1,GNA12,SLC9A1,CCL5,GCH1,RCN1,SOD2,TNIP1,VNN3,SYT11,WDR52,DNAJB2,TPST1
MAN1A1,LOC653515,DKFZp761O2018,TAP1,XPC,RBP3,RAB40B,DUOX1,BATF3,MT2A,MRTO4,CTPS,PLAGL2,EPAS1,MYBPH,CSF2,SRPRB,SLC3A2,EMR3,NFS1,ACO1,GRAMD1A,KIAA1199,ZNF281,HIF1A,INSIG2,GPSM1,ARHGAP12
DACT1,RABGAP1,ZNF77,ETV7,PCNX,CAT,CRH,RAMP1,CD209,PPP1R14B,SELI,HS3ST1,SMPDL3A,RAPGEF1,TGM2,CABLES1,NRIP3,MT1F,USP13,FPR2,C9orf30,FJX1,IL1F9,ADARB1,EPB41L3,AGAP3,INPP1,CD38
