GC,HDL,IFNb,IFNg,IFNg_TNF,IL10,IL13,IL4,IL4_upLPS,LA,LiA,OA,P3C,P3C_PGE2,PA,PGE2,SA,TNF,TNF_P3C,TNF_PGE2,TPP,TPP_IFNb,TPP_IFNb_IFNg,sLPS,sLPS_IC,sLPS_IFNg,upLPS,upLPS_IC
AMY2B,HRB,TMC3,BTN3A1,GPC4,ZNF687,FCER2,RTKN,RAMP1,ABHD2,UBE2D4,PUS7,HS3ST1,GNA15,LONRF3,ABHD6,WDR4,PCNX,GADD45A,FTHL12,PCNX,IL1F9,ZMIZ2,CYP26A1,LOC641938,IER3,SP140,ANKRD29
TPST1,PUM1,LOC128322,LAP3,SCARF1,C1orf152,APPL1,AUH,AUH,MYOZ1,DKC1,ABCC3,TFPI,ASMTL,GLA,TGFA,CD82,GPR84,TREML3,LOC400759,LOC729317,ACVR1B,EHD1,PRKCH,LOC654103,CCL8,ARRDC2,C1QA
ELANE,LOC441662,C9orf135,CUL1,SLCO4A1,FABP3,PPP1R16A,NAGPA,CCL17,EBNA1BP2,TMEM33,DKC1,WBP5,IL2RA,TRAF3IP2,PIM2,MCOLN3,FTHL2,NR3C1,DHFRL1,CAMP,PLAGL2,PIM2,POLDIP3,USP13,GRAMD1A,SEMA6B,AGAP3
CLIC2,WHAMM,GRP,C20orf123,CLN5,EAF1,PALLD,ASCL2,SHPK,C12orf59,MARCKSL1,MRTO4,ZHX2,MAP1LC3C,PFTK1,ZZEF1,NMT2,MPZL1,TNFRSF10B,NFE2L1,TSPAN3,ELL2,C1orf115,F11R,RNF145,LRRC38,NOTCH3,C5orf62
CTNS,FLJ22184,LOC644662,ELF4,FNBP4,SFRS12,C1orf54,RAP1GAP,C3orf21,C1orf122,NETO2,AADACL1,CLEC4G,PLAUR,HES4,ARHGAP20,EMR2,USP13,ZBTB2,HAX1,PPME1,TFPI,MARCKSL1,TNFAIP6,MCTP2,PRR16,WASL,SNTB1
ADORA3,LOC643953,SRPX,WDFY1,SNX10,KRT77,C14orf173,ARHGAP10,CCL23,POLR1C,ABHD2,TSPAN13,ATP1B3,TRAF3IP2,FAM20C,HSDL2,TMEM38B,MYPOP,PANX2,LAT,LMO4,CEP350,RCN1,ADORA2A,GRAMD1A,C6orf52,ZSWIM4,SAT1
SHMT1,LOC652455,PRAMEF1,COLQ,SERPING1,IL17RB,C1orf218,IL1R1,GADD45A,CCDC86,DPH2,SPATS2L,PLIN2,EBF1,PLEKHF1,SLC35B4,SLC22A4,DTX2,CHMP4B,ORM1,TMEM132A,FTHL8,MAP1LC3A,FLJ42986,VEGFA,ZSWIM4,CARKD,DVL3
MPZL2,OPA3,PADI4,NFIX,SPG11,C20orf186,ZNF16,KIAA1671,ZNF317,APOE,PDLIM7,IPO4,IBSP,ELMO2,SELI,CD19,SLC35B1,MT1G,FLJ10213,FBXL20,MREG,DTX2,FYN,TRIP10,WDR33,SLC5A3,LPP,FAIM3
P2RY12,UGCGL1,ZNF667,APOL6,NCF1,C10orf71,ETV6,LOC152195,CD274,NME1,PHLDB1,NME1,CDCA4,FTHL3,SLC35B1,SRGN,PFTK1,CD38,MAP3K4,FAM20A,FTHL3,LOC652844,BTG3,CRISPLD2,PANX2,LOC400759,NKG7,PLXNA1
PLCH1,LOC642335,SNORA33,XKR8,C9orf164,CCDC106,CBR3,TPM2,IL3RA,IPO4,HS3ST1,SLC5A6,FTHL11,PLAGL2,FLNB,CTHRC1,MT1E,GYPC,LIF,MTE,RFTN1,SLAMF1,FTHL11,PGS1,SESTD1,C20orf127,TMEM38B,PTGER2
GPRC5C,ZBTB34,NLRP11,PPARGC1B,GDI1,C15orf17,LOC284023,C1orf54,ESPNL,TBL2,PRDX4,BRIX1,GLUL,TMEM2,PMM2,DPP4,SELS,TMEM205,GRPEL1,LOC652844,PKD2,FYN,SLC18A1,SLC36A4,IL13RA1,FAM108C1,FNBP4,C1RL
GADD45B,LOC652726,LOC442517,C21orf7,CRISPLD2,PCSK5,NFIL3,CD209,C1QTNF1,ST14,MARS2,CCDC86,APH1B,FTHL11,MRTO4,EMILIN2,FLNB,CA12,SLC35F2,MKLN1,SRGN,PGS1,RHBDF2,CEP350,MFAP3,MTF1,LUC7L,CNIH4
FAH,LOC441155,ZNF468,SLAMF7,SLC1A5,GCHFR,ABAT,TTC9C,IL2RA,FLNB,RCN1,PRDX4,CD300LG,FCAMR,GPR172A,CXCR5,TOMM40,MT1X,TWIST1,SIRPA,FAM124A,VNN1,TNFRSF10D,CD82,LILRB1,CCDC68,TCEA2,THBS1
