IP_UP,IP_DOWN,ZHANG_UP,ZHANG_DOWN,BINGER_UP,BINGER_DOWN
Ccnd2,Cmpk2,,,Micall2,Ppp2r3c
Dusp5,Hist1h2af,,,Cited4,Gja1
Syf2,Relb,,,Ctsk,Zfp386
P2ry13,Plagl2,,,Tap2,Rapsn
8430419L09Rik,D130016B08Rik,,,Arl8b,Psme2
Snx24,Mx2,,,Dpep3,Sumo1
Rap2a,Hps6,,,Slc7a4,Ramp1
Dcakd,LOC100047353,,,Anpep,Pfkp
Rab1,1110046J11Rik,,,Itpr1,Ranbp9
P2ry6,Ibrdc3,,,Pdpk1,Mcm10
Btbd2,Slc31a2,,,Dpp7,Ppp1cc
Nasp,Cxcl10,,,Usp25,Tmem176a
Slc20a1,Flcn,,,Tlr3,Slc45a4
Cdkn2aipnl,Tut1,,,Htr2b,Arrdc3
Zfp91-cntf,5430406J06Rik,,,Slc12a4,Kif3b
Hrbl,Bcl2a1a,,,Ttll4,Ugt1a10
Adam8,Asb8,,,Prnp,Dnase1l3
6720463L11Rik,0610030E20Rik,,,Edem2,Cacna1h
Zranb3,Ednrb,,,Slc6a9,Slc25a30
9130404D14Rik,Bcl3,,,Tlr7,AB124611
Slc7a8,Slc11a2,,,Gprc5b,Qpct
Dmwd,1200002N14Rik,,,Hic2,Tlr8
Kctd13,LOC100046855,,,Eif2ak3,Calr
LOC100040573,Pou2f2,,,Tspan7,Pdlim5
Ccnyl1,Ccl5,,,Dlg3,Bst1
Ankrd28,Eif4ebp2,,,Slc27a6,Bcl2a1c
Cttnbp2nl,B230345P09Rik,,,Lox,Stat4
Sc4mol,Rrad,,,Fyco1,Serpinb6b
LOC666559,LOC100043821,,,Acat2,Crkl
Vash2,Clec4e,,,Slc26a6,Tnfaip8l3
Clip2,A630097K09Rik,,,Dhx37,Gm1673
Nol1,Pde1b,,,Gadd45g,Ramp3
2810026P18Rik,4933421G18Rik,,,Npy,Slco2b1
Mdm2,Junb,,,Hvcn1,Hprt
LOC677448,Rnaseh2b,,,Mcoln3,Rnf34
Eif4a2,Daxx,,,Tgfb1,Fli1
Vps37b,Zubr1,,,Ctsz,Ccnd1
B130019G13Rik,Fbxl11,,,F9,Pecam1
Deb1,2010316F05Rik,,,Csf1,Ngp
Ubtd1,Tank,,,Ctse,Lcp1
LOC100047837,Ppfibp2,,,Hist3h2a,Cryba4
Dfna5h,Nfe2l1,,,Csf2ra,Bcl2a1d
Fdps,Zfp281,,,Hyou1,Slc40a1
Egln3,Zfp574,,,Akap12,Ccr5
Atg9b,Ripk2,,,Sdc4,Dok2
Sla,Pde4dip,,,Oas1a,Il1b
2410018C17Rik,9030619K07Rik,,,Cblb,F13a1
Abi3,LOC667370,,,Isyna1,Hemk1
ENSMUSG00000074075,Kif3a,,,Arhgap24,Slamf1
Tmem24,Il15,,,Arid3b,Gbp2
Clk4,A230057M07Rik,,,Ophn1,Ebi3
Pdxp,Csf2rb2,,,Gtf2f1,Asb2
Palld,Zfp655,,,Gnl3,Rab38
Ttc15,Ticam2,,,Hey1,Nup210
Tpst2,Irgm,,,Fus,Gng2
Hmox1,BC003324,,,Npff,Gpr18
Stk10,Ncoa4,,,Mvd,Stk17b
Atf3,Impact,,,Pou6f1,Mras
Pik3cb,4930445K14Rik,,,Slc6a8,Timp1
Scamp1,Nuak2,,,4930599N23Rik,Arhgap19
Doc2a,Acsl1,,,Plscr4,H2-Eb1
Snx2,Tlr6,,,Mical1,Ccr3
LOC100045678,Ifit2,,,Ifitm6,Cst7
EG432466,Parp9,,,Mcoln2,Mgl2
Smad3,Mocs1,,,Vegfc,Retnlg
A930008A22Rik,LOC269251,,,Tpcn2,Il18
Prkar2b,Lrrc8a,,,Scgb1a1,Maf
Pes1,Abcg1,,,Treml1,Lcn2
Centd3,4930428B01Rik,,,Smg5,Adora2b
Fgd4,Rit1,,,Tal2,Casp6
Trim8,C78339,,,Kif3c,Slc13a3
Ccdc124,C3,,,Nek6,H2-Ab1
Pscd4,Ccnl,,,Pik3r3,Ppp1r3c
EG329521,E330018D03Rik,,,Galnt6,Aif1
Ccl3,mtDNA_COXI,,,St3gal4,Nrg1
Tmem199,Zfyve26,,,Rragd,S100a8
Cyp51,Ril-pending,,,Icam1,Snn
Tgm2,Ptgir,,,Purb,Ifi204
Supt3h,Nfkb1,,,Agrn,Msx3
Sqle,Arhgap17,,,Aoah,Adrb2
Snx30,9030612M13Rik,,,Rab15,Diras2
Ubg,LOC100048461,,,Daxx,Pdlim1
LOC100045251,Zfp644,,,Axl,Cish
Casp8,E130309L16Rik,,,Spry3,
Spty2d1,Mcoln2,,,Vat1,
Mier2,Pnpla8,,,Il6st,
Rab1b,Zc3h10,,,Ptk2b,
4930461P20Rik,Pias1,,,Hp,
Limk1,Snn,,,Stat2,
Cnr2,Tmcc3,,,H2-M2,
Coro1c,Sav1,,,Card11,
Metap1,LOC666363,,,Oas1b,
Gdf9,C230096K16Rik,,,F10,
Trim27,A630006E02Rik,,,Pou2f2,
LOC100047863,9030607L20Rik,,,Ryr1,
Osgin1,Irak2,,,Cxcl1,
Nxf1,LOC100047619,,,Stac2,
Rassf2,AU042671,,,Ndrg1,
Sema6b,Trp53inp1,,,Sorl1,
Id3,9030625A04Rik,,,Ifnb1,
Unc84a,mtDNA_ND1,,,Ccl8,
Scamp5,Cd82,,,Igsf3,
Fcgr3,Plxna2,,,Il11ra1,
Bzw2,Srr,,,Rtp4,
Prkab1,Swap70,,,Mx2,
Mtss1,scl00238693.1_37,,,Cxcl9,
Zfp703,Dbp,,,Vwf,
,,,,P2ry1,
,,,,Inpp5a,
,,,,Ddhd1,
,,,,Oas2,
,,,,Hdc,
,,,,Ifit2,
,,,,Ppargc1b,
,,,,Enpp4,
,,,,Irf7,
,,,,Ly6e,
,,,,Gpc1,
,,,,Flt1,
,,,,Isg20,
,,,,Ly6a,
,,,,Slfn1,
,,,,Retnla,
,,,,Arg1,
