MEMORY_vs_GC_UP	GC_vs_MEMORY_UP	NAIVE_vs_GC_UP	GC_vs_NAIVE_UP	MEMORY_vs_NAIVE_UP	NAIVE_vs_MEMORY_UP
LAMP1	MBOAT2	IRF9	ITGB1	KCNH2	MAPK8IP1
LEMD3	MCM10	ITM2B	KANK2	KCNMA1	MARCHF3
LIMD1	MCM2	ITPK1	KCNN3	KCNN4	MCF2L
LIX1L	MCM3	JAM3	KCTD9	KLHL6	MEGF6
LRRC69	MCM4	KDM4B	KIF22	KYNU	MIR600HG
LTBP3	MCM7	KLF2	KIF4A	LGALS1	MMD
MACF1	MED20	L3MBTL3	KPNA2	LMO4	MROH6
MAN2B1	MET	LAIR1	LHFPL6	LPCAT4	MSTN
MAP3K1	METAP2	LARGE2	LIMS1	LYPLAL1	MTMR1
MIR101-1	MPC2	LHB	LINC00487	MAF	MYADM
MOB3B	MYBPC1	LIMD1	LMCD1	MGAT4A	NCF1C
MUC20	NCBP3	LINC00205	LMO2	MPZL1	NEB
MYO1F	NET1	LY6E	MAP2	MS4A7	NEIL1
N4BP2L1	ODC1	LYL1	MASTL	MUC20	NFATC3
N4BP2L2	OTULIN	LYST	MBD2	NAAA	NIBAN3
NAAA	PARP1	MACF1	MCM2	NAB1	NMBR
NABP1	PBK	MAML2	MCM3	NABP1	NSUN5
NDFIP1	PEG10	MAN2B1	MCM4	NEK6	NUDT12
NLRP1	PIK3CG	MAP3K1	MCRS1	NFIL3	OGFRL1
NME3	PLK4	MARCHF3	MET	NOL4L	OLFM2
NOTCH2	PMS2P11	MAX	MGST2	NSD2	P2RX1
NRIP1	POU2AF1	MIR600HG	MIXL1	OSBPL10	PARP14
OAS3	PSMA4	MLLT6	MND1	OSBPL3	PCDH12
OR6A2	PSMD14	MOB3B	MPHOSPH9	P2RY12	PCDH9
OSGEPL1	PSRC1	MSN	MRPS27	PAG1	PDE7B
PARP12	PTP4A2	MST1L	MYH10	PAPSS1	PEAK1
PARVG	RAB30-DT	MYO1F	NAA38	PARP4	PELI3
PDE4B	RABGAP1	MYO7B	NCAPD3	PARPBP	PKP4
PDGFRB	RAD51	N4BP2L1	NCAPG2	PASK	PLCD4
PGGHG	RAD54L	NBPF10	NDC1	PDE4D	PLEKHA1
PGM2L1	RASAL1	NOTCH2	NDUFA12	PHACTR2	PLEKHA2
PHYH	RBM17	NR4A2	NPR2	PIK3R6	PMS2P1
PIGL	REXO5	NT5E	NSD2	PLEK	PNPLA7
PLAG1	RNF19B	OPN3	OAZ1	PLP2	PPARD
PLEKHA1	RNFT2	PARP10	PABPC4	POU2AF1	PPP1R26-AS1
PLEKHO2	ROCK2	PARP9	PANK1	POU6F1	PRKCE
PLP2	ROMO1	PATL2	PARN	PRKACB	PSCA
PLSCR3	ROR1	PDE4B	PCBP2	PRKCH	PSME4
PLXNC1	RRM2B	PECAM1	PCNA	PRKCI	PTPRE
POLK	RSU1	PLCB2	PEG10	PTAFR	PTPRK
POU6F1	SAE1	PLEKHA1	PFKM	PTCH1	PXT1
PTCD2	SAP130	PLEKHO1	PHF19	RAB25	RABEP2
PTPN1	SCG5	PLOD3	PITPNC1	RAD17	RAPGEF6
PTPRO	SERF2	PLP2	PLEK	RALGPS1	RBM5
RAB37	SERPINA9	PMEPA1	PLK1	RASSF6	RC3H1
