GSE38697_DARK_VS_LIGHT	GSE38697_LIGHT_VS_DARK	GSE12845_DARKZONE_GC_TONSIL_VS_NAIVE	GSE12845_NAIVE_VS_DARKZONE_GC_TONSIL	GSE12845_DARKZONE_GC_TONSIL_VS_PRE_GC	GSE12845_PRE_GC_VS_DARKZONE_GC_TONSIL
MIR615	LRRC27	LAGE3	ITPK1	KLC1	IL17RA
MMD2	LRRD1	LAMTOR2	JAK2	LARP4	IL6
MS4A14	LRWD1	LINC00342	JAM3	LARP7	IL6R
MST1R	LXN	MAP3K7CL	JRK	LCK	IL6ST
MYMK	LZTFL1	MAP4K1	KCNA2	LRCH3	IMPDH2
NAT8B	MAGI3	MAPK12	KCNQ4	MAP3K7CL	IPP
NAT9	MAIP1	MARCHF5	KLF3	MED20	IQSEC3
NEGR1	MED15	MDH1	KMT5B	MEN1	KIF21B
NEK9	MED6	MEN1	KRT8P12	MICU2	KLF2
NFIB	MFSD14A	MFHAS1	LARGE1	MME	KMT5B
NMRK2	MGP	MGAT1	LENEP	MOK	KPNB1
NOX4	MOB1B	MNS1	LGR4	MON1B	LAMC1
NPY	MPHOSPH10	MRPL16	LPIN2	MRPL15	LARS1
NR3C2	MPRIP	MRPS2	LRRC3	MRPS33	LGALS9
NRK	MRPL45	MTERF3	LTBP3	MTMR12	LIMS2
OBP2B	MRPS15	MTHFD1	MAFF	NAA38	LST1
OSCAR	MRPS31	MTREX	MAN2A2	NAXD	LTBP3
OVOL1	MRPS36	NAPG	MANBA	NDUFAF1	LY9
OXT	MTFR1	NASP	MAP3K2	NEIL1	LYZ
PAPPA	NAA35	NDUFAF7	MAPK8IP3	NENF	MAFB
PDPN	NDST3	NECAP2	MAPRE2	NF1	MAPK3
PIGR	NFATC1	NFYB	MARCHF1	NGRN	MARK2
PIH1D2	NFIX	NRGN	MBP	NKIRAS2	MBP
PKP3	NKAP	ORC3	MCOLN1	NNT	MED1
PLA2G10	NMNAT1	OSBPL2	MED13L	NOL9	METTL8
PLA2G1B	NPAT	P4HA2	MEPCE	NUDT1	MT2A
PRR15	NSMAF	PARP2	METTL16	NUS1P3	MTF1
PRR16	NUBPL	PDCD10	MGAT5	OSBPL11	NAB2
RAB15	NUDT2	PDHX	MIS18BP1	PCDHA3	NCOA2
REEP1	OCRL	PDK3	MSN	PDCD6IP	NFKBIA
RHOV	OSGIN2	PGM1	MTCL1	PDHX	NHP2
RPS6KL1	PAXBP1	PHF7	MTF1	PDK2	NPC2
SDSL	PHKB	PIGV	MUC3A	PEF1	OAS2
SEL1L3	PKN1	PIN1	MYCBP2	PEX3	OPN3
SH3BP5	PKNOX1	PLEK	NCOA2	PLAG1	PARP12
SLC16A9	PMPCB	PLXNB2	NDEL1	PLK4	PCK2
SLC35F3	POLR2I	PMS2P2	NDRG3	PMPCA	PDE8A
SLC35G1	PON2	POGK	NDST2	PNN	PDGFC
SLC7A13	PPP2R2A	POGZ	NEK1	POLG2	PEX16
SMOC1	PSMG2	POLDIP3	NFKBIE	POLR2J	PFDN5
SNORA3A	PTCH1	POLR2B	NPC2	PSIP1	PGAP3
SOGA3	RAB10	PPAT	NRIP1	PSPC1	PHACTR1
SPAG17	RABGAP1L	PPIH	NUMA1	PTPN18	PHF1
SPHK1	RAD9B	PPP2R5C	ORAI2	QPCT	PLA2G2D
SULT1E1	RBM27	PRCC	OTUD4	RAD21	PLA2G7
TENM2	RCOR3	PREB	PCDH11Y	RALBP1	PLAC8
THEM7P	RIOK1	PRKCD	PCIF1	RBM39	PLXND1
TIGD4	RIPK1	PSMA2	PCK2	RBM6	POGLUT1
TNFRSF11B	RNPEPL1	PSMA7	PDK1	RBX1	PPP1R16B
TRHDE	RPP14	PSMB10	PDLIM2	RCOR3	PRKX
TSGA10IP	RSPH9	PSMB5	PGAP1	REEP5	PSAP
UPP2	RTTN	PSMC1	PNRC1	RER1	PSENEN
WDR87	SCLT1	PSMD4	PPARD	RERE	PTGDS
WNT1	SDCCAG8	PSMD8	PPP1R16B	RETREG2	PTPRK
