IgM_VS_IgA_MEMORY	IgA_VS_IgM_MEMORY	IgG_IgA_MEMORY_VS_NAIVE	NAIVE_VS_IgG_IgA_MEMORY	IgM_MEMORY_VS_NAIVE	NAIVE_VS_IgM_MEMORY
IFNGR1	MAFF	ITGB7	LYST	ING1	LAIR1
IGHD	MARC2	ITM2C	MAGEB1	ITGAM	LARGE1
IGHM	MFSD10	JCHAIN	MAOB	ITGB1	LCOR
IL10RA	MIA	JPT1	MAP11	ITGB7	LDHC
IL1RAPL2	MICA	KCNN4	MARCHF3	ITM2C	LMO2
IL2	MICU2	KCTD7	MFAP5	JAM3	LRCH1
IL6	MOCS1	KLF10	MGAM	KCNG2	LUZP4
ING1	MYCN	KMT5A	MITF	KCNN4	LYST
INTS9	MYH7	LDHB	MMP17	KLF10	MAB21L1
JAK2	MYO1F	LGALS1	MMP2	KPNA2	MARCHF3
KCNK12	MYOC	LIME1	MTMR9	LDHB	MAVS
KIAA0040	NAALADL1	LMO4	MYEF2	LDLRAP1	MCTP2
KMO	NIBAN1	LPXN	MYO15B	LGALS1	MMP17
KMT2A	NINL	MARCKS	NCK2	LMO4	MST1
KNTC1	NOTCH3	MFSD10	NEIL1	LPXN	NEIL1
KPNA5	NR2F6	MKKS	NIPBL	LY96	NID1
KRT3	NT5E	MNDA	NKX3-1	M6PR	NOD1
LEPROTL1	NUDT4	MTHFD1	NPY	MAP4K1	NRF1
LPAR2	NUP133	MVP	NR1H3	MARCKS	NRGN
LRIG1	OAZ1	MYO1F	NR3C2	MBIP	OGFOD3
MAGEF1	OCLN	MZT2A	OBSCN	MCM5	P2RX1
MAK16	PCDHGB5	NANS	OLFML2A	MDFIC	P2RY14
MAP3K8	PCOLCE2	NCF4	OSBP	MNDA	PARG
MBOAT7	PDGFD	NDUFB3	OSM	MRPL40	PCDH9
MECR	PDK4	NDUFB7	P2RX1	MVP	PDE1B
MEPCE	PES1	NDUFS6	P2RY14	NANS	PDP1
METTL16	PIK3R5	NIBAN1	PAIP2B	NCF4	PIK3C2B
MGAM	PIMREG	NQO2	PBX3	NQO2	PLK2
MRNIP	PIN1P1	NT5C	PCDH8	NRBP1	PLPBP
MTFR1	PMS2P11	ORMDL2	PCDH9	OPTN	PRCP
MYOZ2	PODXL	PANK2	PECAM1	PAPSS1	PRDM10
N4BP2L1	POF1B	PAPSS1	PEG10	PBXIP1	PSMB2
NFX1	POFUT2	PLAAT4	PER1	PDCD5	PVT1
NIPBL	PPP1R3C	PLCG2	PHC1	PFKP	RADX
NOTCH2	PRDM4	PLP2	PLEKHA1	PHB	RARS2
NUP214	PRKAR2B	PLSCR3	POLR3C	PLAAT4	RASGRF1
OR10C1	PRM2	PMM1	PPFIBP1	PLEK	RASL10A
OR3A1	PRR5	PPA1	PRCP	PLP2	RETREG1
OSBP	PSAT1	PPA2	PSMC3IP	PLSCR3	RFPL3
OTUD4	PTTG2	PRDX3	RAB15	PPA1	RFTN1
PBX3	RALA	PSMB9	RAPGEF6	PPIF	RGL2
PCDH9	RALY	PTPN2	RFC1	PPP1R16B	RHOC
PCDHGA3	RARS1	PVRIG	RGL2	PRPF19	RPAP1
PECAM1	RGS9	PXDC1	SATB1	PTPN18	RPS2P45
PIEZO2	RHCE	PYCARD	SCN3A	PXDC1	RPUSD2
PLEK	RNGTT	RAB31	SERPINB9	PYCARD	RSL1D1
PLEKHA2	RPLP1	RAB5IF	SESN1	RAB31	SATB1
PLEKHA4	RPRD1A	RALGDS	SH3BP2	RAB4A	SCG2
PLGRKT	RPUSD2	RARS1	SIAH2	RAD50	SCLY
PLOD1	RRP12	RASGRP1	SIX3	RALGDS	SCN3A
POLR2K	S100P	RGS10	SKAP1	RGS10	SESN1
POU3F3	SALL1	RNH1	SLA	RNF34	SFRP1
PPARD	SCNM1	RORA	SLC12A6	RORA	SIAH2
PRMT3	SFN	RPL27A	SLC2A2	S100A10	SKAP1
PSME4	SINHCAF	RPLP1	SLC30A4	S100A4	SLAMF1
RAB28	SLC12A7	S100A10	SLC35E2A	SACS	SLC10A1
RAB35	SLC25A12	S100A4	SLC39A4	SAMSN1	SLC26A2
RCN1	SLC25A20	S100A6	SLC6A8	SCRN1	SLC2A10
RFXAP	SLC35D1	SAMSN1	SLITRK3	SDHB	SLC30A4
RIPPLY3	SLC4A8	SCNM1	SMAD3	SEC61B	SLC35E3
RNF141	SMAGP	SCRN1	SMR3B	SGPP1	SLC39A4
RPH3A	SPP1	SEC61B	SMUG1	SINHCAF	SLC45A2
RPP25	SPTLC1	SGPP1	SMURF1	SLC15A3	SLC4A8
RRP1	SSBP2	SINHCAF	SOBP	SLC25A4	SMAD3
RSF1	SSPN	SLC35D2	SORL1	SLC35D2	SMURF1
RSRC1	SSTR5	SLC7A6	SOX18	SLC7A7	SOBP
SCAF11	ST6GALNAC2	SMAGP	SPRY4	SMARCB1	SOCS1
