TIM3negPD1neg_TIL,TIM3negPD1pos_TIL,TIM3posPD1pos_TIL
Ube4a,Tns1,Pbx3
Atp1a3,Nt5e,E2f8
Fcrla,4921509J17Rik,4933431E20Rik
Slc25a23,Ttc39c,Xpot
Gria3,Mrpl17,Antxr1
Grap2,Nr3c2,Chek2
Ifnar2,Fam199x,Plpp1
A930005H10Rik,Tbccd1,Cxcr6
Atp10d,Cacnb1,Rpa2
Itprip,Cabin1,Gstm5
Ankrd11,Ube3a,Arhgef25
Rnf144a,Zfp553,Flywch2
Enc1,Fgfr1op,Tcrg-V4
Tet1,Arhgef9,Pif1
Satb1,Ssbp2,S100a1
Tle1,Rims3,Syngr3
Tanc1,Stk35,Osgin1
Fam117a,Ttf2,F13a1
Mn1,Zswim8,Hook3
Ndufb9,Ajuba,Fcer1g
Itgae,Sh3rf1,Zwilch
Pja1,Etv5,Thbd
Pdzd4,4933407A17Rik,Anxa2
Unc5cl,Slc35a2,Galnt3
Ablim1,Ubxn2a,Nuf2
Klf3,Cryzl1,Rwdd4a
Eif4h,Tespa1,Cdca2
Lypd6b,Hspa4l,Adal
Smim5,4933407O12Rik,Ctsd
Galnt11,Naprt,Dock7
Id3,D530015H24Rik,Plin2
