Rhoq,Tlr2,Hsd11b1
Rnf11,Stk39,Tagln2
Rnf19a,Tfdp2,Glo1
Rpa2,Fignl1,Fam213a
Rpa3,2610020H08Rik,Uhrf1bp1l
Rsad2,Gpr141,Cdc26
Ryr1,Plscr1,Nsg2
S100a13,Kif23,Tsr1
Scd1,Cdca8,Snord49b
Scin,Chst12,Nrm
Sec14l1,Gcnt1,Mrpl48
Sfpq,Spry2,Rnaseh2c
Sh2d2a,Fam84a,H2-Ke6
Sh3bgrl,Cdk1,Acyp1
Slc4a7,Rad51ap1,Znrf3
Smc2,Arsb,2810004N23Rik
Smc4,Enpp2,Chtf8
Son,Gpd2,Mpnd
Spg21,Oas2,Gm5779
Spock2,Cdc6,Fkbp4
Spp1,Tacc3,Myc
Strn,Slc22a15,Scrn3
Sumf1,Kif18a,Zbtb6
Sypl,Gpr56,Lsm5
Tcf4,Fcgr4,Snord52
Tcrg-C,Cmklr1,Klk8
Tcrg-V3,Ctsc,Ahcy
Tcrg-V4,Cdk14,R3hcc1
Tfdp1,Tnfsf13b,Rnaseh2a
Tnfrsf1a,Smc2,Wdr74
Tnfrsf4,Slfn4,Ddx56
Tnfrsf9,Hip1,Gpatch4
Tnfsf11,Cdc14a,Pik3ip1
Trim47,Ptger2,Polr2l
Ttc14,Serpini1,H3f3a
Ttc39b,Ppic,Pcca
Ttk,Ckap2l,Tmem55b
Twsg1,Aim2,Scp2
Ube2t,Stmn1,Acadsb
Vamp8,Rnf128,Bola2
Vmp1,Eif4e3,Gnpnat1
Vps45,F630003A18Rik,Ctla2b
Vps54,Asap2,H2-Ob
Wbp11,Alcam,Evl
Wls,Rnaseh2b,Dusp19
Zfp930,H2-T24,Prmt7
Zranb2,Cd7,Tmbim4
,Pmch,Suclg1
,Kntc1,Nme1
,9130008F23Rik,Chchd5
,Chaf1a,Mrps18a
,Osr2,Atg5
,4933413G19Rik,Gpr89
,1700019D03Rik,Rpl3
,Casp1,Lpcat3
,Gm7609,Trp53
,Spred1,Eif3i
,Rad54l,Aldoa
,Herc6,Polr2h
,Tjp2,Vps4a
,Ier5l,Rrnad1
,Mtfr2,Eif4e
,Gbp8,Mrto4
,Cdca2,Rpl14
,Atp8a2,Epsti1
,Iigp1b,Hid1
,Chit1,Dkkl1
,Rnase6,Poli
,Itih5,Cebpzos
,Fsbp,Slc11a2
,Tank,Sdhaf1
,Hpse,Wdr12
,Ahi1,Gimap9
,Akr1e1,Ddx18
,Serpina3f,Mtap
,Ezh2,Mipep
,Hist1h1b,Ubr7
,Egr1,Rab23
,Coro2a,Psmg1
,Ptms,Irf2bp2
,Ndfip2,Xrcc4
,Arap2,Itgb1
,Cenpp,Pdrg1
,Hspa4l,Trav9d-3
,Ap1s3,Snx1
,Zfp367,Rpl13
,Vps54,Cmss1
,Zufsp,Utp20
,Gfpt1,Zfp35
,Kif11,Sephs2
,Optn,Wdr75
,Incenp,Rpl14-ps1
,Dclk2,Saysd1
,Gbp11,Aimp1
,Ofd1,Fam45a
,Nlrc5,Styx
,8030462N17Rik,Rsl24d1
,9130019P16Rik,Rps16-ps2
,A430093F15Rik,4930486L24Rik
,Tyms-ps,Lcmt2
,Dock7,Cdc34
,Msh3,Jakmip1
,Zpbp,Tmem242
,Ehd4,Nob1
,Stx7,Commd2
,Ppfibp1,Hax1
,Fabp7,Rmdn1
,Smarcc1,Lamp1
,2610318N02Rik,Atp5b
,Srxn1,Plcb2
,Adap1,Eef1b2
,Mad2l1,Usp24
,Nab1,Dtd1
,Gm16039,Nol12
,Ccnf,Gtf2h5
,Phactr4,Pank1
,Lilrb4,Tle1
,Lat2,D2Wsu81e
,Gpr65,Ei24
,Trim59,Psmd10
,Anxa4,Gm10653
,B930095G15Rik,Trmt1
,Hmgb2,Vrk1
,Dennd6a,Smn1
,Ccdc146,Mylpf
,Grhl1,Ruvbl1
,Raet1e,Blvra
,Fstl3,C1qbp
,Bak1,Ddx21
,,Ruvbl2
,,Hddc2
,,Idh2
,,Nfu1
,,Znhit3
,,Thumpd3
,,Acaa2
,,Bax
,,Tesc
,,Cxcr6
,,Mecr
,,Asf1a
,,Pinx1
,,Use1
,,Uba52
,,Tma7
,,Cbx7
,,Nudc
,,Trat1
,,Pfdn2
,,Mif
,,Fam134b
,,Zcchc17
,,Ppp4r2
,,Rps21
,,Nop10
,,Eif3h
,,Fdx1l
,,Hopx
,,Acat1
,,Rpl36
,,Gm12657
,,Prmt3
,,Igbp1
,,Fam162a
,,Rpl10
,,Bdh1
,,Rpl10a
,,Pfdn5
,,Clip1
,,Paip1
,,Prss8
,,Cfdp1
,,Eif3m
,,Hs3st3b1
,,Cnpy4
,,Hspd1
,,Nudt21
,,D19Bwg1357e
,,Gm10548
,,Rpl19
,,Cyb5r4
,,Tmod3
,,Chordc1
