EEF1AKMT1,CPZ,C1orf210,RBM41,COX10,CTSS,DAGLB,DTD2
EEF1AKNMT,CREM,C1QTNF7,RCOR1,CPN1,CTSV,DCTD,DTX3L
EIF1,CRYAA,C20orf202,RD3,CREM,CTSZ,DCUN1D2,DUS2
EIF2B1,CSF2,C4orf36,RGS17,CSTF2,CUX1,DDI2,DUSP11
EIF2B4,CTRC,C6orf223,RGS4,CTPS2,CXCR4,DHRS3,DUSP22
ELAVL1,CTTN,C8orf31,RHOC,DAZAP1,CYB5R1,ECD,E2F2
ELK1,CUX2,C9orf40,RHOU,DCLRE1A,CYBB,EFR3A,ECRG4
ENC1,CYP11B2,CA8,RIT1,DDC,CYFIP1,EGR2,ECSCR
ERC1,DCP1A,CABP2,RNF10,DDX49,CYP1B1,EIF2AK4,EEF2
ESCO2,DLST,CACNA1A,RNF150,DEFB126,CYP27B1,EIF4G1,EIF4E3
EVPL,DNAJA1,CACNG7,RNF167,DHFR,DBP,EME2,EIPR1
EXOC3L4,DR1,CALCA,RNF214,DLEU1,DCHS1,ENKUR,EMILIN3
FAM229B,ECD,CAMK1D,ROCK1,DLEU2,DCSTAMP,ERP29,EPB41L1
FANCB,EIF3I,CAMSAP2,ROS1,DLGAP5,ENTR1,ETF1,EPDR1
FZD4,ELK4,CAPZA3,RPL26L1,DONSON,FADS1,FAF2,FAM181A
GADL1,ELP5,CARD10,RRM1,DPEP1,FCGR2B,FAM156A,FARS2
GAL,FBXO28,CASKIN2,RSPH1,DPP3,FCGRT,FAM3C,FAU
GCHFR,FCGR2B,CCDC15,RSPH10B2,DTL,FEZ2,GET4,FBXO32
GDAP1L1,FEM1C,CCDC152,RSPH3,DUSP4,FGL2,GGA2,FGFR3
GDI2,FGB,CCL4,RTP1,DUT,FN1,GLE1,FJX1
GEMIN7,FPR3,CCNY,RUSC1,EIF4EBP2,FNDC3B,GLT8D2,FOXC2
GFM1,GADD45G,CCS,S100P,ELOVL6,FOS,GRN,FOXO1
GID8,GAK,CD3E,S1PR2,EMC9,FPR3,GSDMA,GABRG2
GIPC2,GIT1,CD46,SAGE1,EXO1,FTH1,GSTCD,GABRR2
GPR179,GPATCH2L,CD7,SAP30BP,EZH2,FTL,GUF1,GAS2L1
GPRIN2,GPR173,CD8B,SARS2,FANCG,GALNT12,H1-2,GIMAP1
GRHL2,GPR3,CDK5RAP2,SCN8A,FANCI,GLG1,HAGH,GLCCI1
HARBI1,GPR6,CDS1,SCO2,FEN1,GM2A,HAPLN4,GNAI2
HMGA1,GRM8,CEACAM1,SDC3,FETUB,GOLGA8H,HGH1,GNAT1
HSPA4L,GRPR,CEACAM19,SEC24D,FGFR1,GPRASP1,HMX3,GOLT1A
IFT27,HAPLN1,CEP68,SEC61B,FIBP,GSN,HSD17B11,GP1BB
IL20,HCRTR2,CFAP298,SEPHS2,FUT8,HCK,HSPH1,GSC2
INSRR,HGS,CHCHD7,SEPTIN3,GALK1,HEXB,HUWE1,HDAC9
INSYN2A,HIPK2,CHD9,SF3B1,GATA3,HLX,HYAL3,HGD
ISCA2,HMGA1,CHL1,SGO2,GGCX,HNMT,IL27RA,ICOS
KCNJ8,HOXB9,CHPF,SH2D1A,GINS1,IFNGR1,ILF2,IGFBP2
KCTD11,HS3ST2,CHRNA2,SHISA6,GJC2,IFNGR2,INPP5B,IL17RA
KIAA1841,IL1R2,CHRNA4,SLC16A4,GMNN,IGFBP6,INTS6L,IL18R1
KIF18A,IL6ST,CHRNG,SLC22A18,GPR19,IL18,IRAK3,IL20RA
KLC1,ING1,CITED4,SLC24A5,H2AX,IRF8,IRX2,IMPAD1
KLHL40,IPO7,CLTCL1,SLC25A3,H4C3,ITM2C,ITFG2,KCNK7
LHX2,ITPR3,CLU,SLC25A46,HJURP,JADE2,IZUMO1R,KCNQ2
LIAS,KCNK1,CMTM5,SLC26A6,HNRNPAB,KANK1,KANSL1L,KIF1B
LMAN1,KDM7A,CNOT4,SLC35F3,IDH2,KCTD12,KIAA1211L,KMT2C
LRRC14,KIF25-AS1,CNPY1,SLC39A1,IGHM,KDSR,KIF13A,KRT12
LRWD1,KLC1,CNTFR,SLC43A3,IL18R1,KIAA0355,KYAT1,KRT222
MAP9,LCK,COG1,SLC44A3,IL2RA,KMO,LAMP1,LAMP5
MAPK1IP1L,LILRA5,COIL,SLC4A9,IL2RB,KYNU,LARS1,LASP1
MAPK4,LINC00472,COL10A1,SLC6A7,IL32,LARS1,LAS1L,LCN8
MEAK7,LMAN1L,CPLX2,SLC9A6,IL9R,LEPROT,LGR4,LIPN
MECR,LMCD1,CREB3L4,SLC9A8,INHBE,LGALS3,LIG1,LRRC71
METTL2B,LMNA,CSPG5,SLFNL1,IRF4,LHFPL2,LINC00301,MAP4
MFN2,LRRC42,CST3,SMAP2,ITM2A,LILRB4,LIPC,MARK1
MINPP1,LRRFIP2,CST8,SNAP91,ITPR2,LIPA,LPCAT1,METTL7A
MIR22HG,MACO1,CSTA,SNORA65,JPT1,LPAR6,LRIG3,MIA2
MPPED2,MAGEB2,CTSV,SNX3,KIF11,LPL,LRRCC1,MIEF2
MRPL14,MAGEB3,CUTA,SOX11,KIF15,LRP12,LTA4H,MITF
MRPL46,MAGEL2,CXCL14,SOX2-OT,KIF22,LY9,LZTFL1,MME
MRPL47,MAMLD1,CXXC1P1,SPATA2,KIF2C,LY96,MAGED2,MOK
MSH6,MAP3K19,CYBB,SPATA22,KIF4A,LYZ,MCM7,MSRB1
MTLN,MAPK1,CYMP,SPATA5L1,KLHL25,MAFF,MED22,MYCT1
MUTYH,ME1,CYP2J2,SPATC1,KNTC1,MANBA,MGAT4A,MYO6
NDE1,MELTF,CYP4F29P,SPATS2L,KRT36,MARCO,MIGA1,MZB1
NDUFB9,MEX3C,CYP7B1,SRL,LANCL2,MEF2A,MMD,NEK11
NEDD8,MKRN3,CYSLTR2,ST7-AS1,LIG1,METTL1,MRC2,NEURL1B
NELFCD,MLANA,DAAM2,STARD4,LMNB1,MGLL,MTHFD1,NHEJ1
NEURL1B,MLLT11,DACT1,STK25,MAOB,MMD,MYL10,NKG7
NFKBIL1,MMP11,DDX18,STK32A,MCM2,MMP12,NAT10,NLGN2
NGFR,MMUT,DDX53,STK36,MCM4,MMP9,NCOA5,NLRC5
NSFL1C,MOAP1,DEPTOR,STX10,MCM7,MNDA,NEFH,NLRP6
NSUN2,MORF4L2,DGCR9,SUMO4,MED20,MNT,NRG3,NOBOX
NSUN4,MPPED1,DHRS9,SUSD1,MELK,MREG,NRGN,NOL6
NUDCD2,MSMO1,DHX58,SYN2,MRPL11,MSL1,NUDT12,NTRK3
NUP58,MTF1,DNAH17,TBC1D1,MRPS11,NACC2,NUDT15,NUP50
OPN1SW,MTSS2,DNAJA4,TBC1D4,MRPS12,NELL2,NUDT7,NXNL2
OXSR1,MUC2,DOCK6,TDRD7,MYB,NLRP3,PA2G4,OSTF1
P2RX1,MUC5AC,DPYS,TEX12,MYBL2,NPL,PAN3,P4HA1
PAQR4,MYH9,DUS1L,TFF2,NCAPG2,NRP1,PDC,PAK6
PCGF2,NID1,DUS4L,THAP1,NCF4,P2RY13,PDE6C,PCMTD1
PDCD2,NRG1,DUSP14,THRB,NDUFA7,PDGFC,PELP1,PDE7B
PDIK1L,OR1E1,DYNC1I1,TIFAB,NELFE,PHF1,PEX5,PDLIM2
PECR,P2RX1,ECI2,TIPRL,NPDC1,PLA2G15,PIGH,PEX16
POLR2E,PDE9A,EEF1D,TK1,NSD2,PLA2G7,PITX2,PHF19
POPDC2,PFKFB2,EFNB1,TMBIM1,NTN3,PLAU,PLA2G4C,PHF20L1
PPIP5K1,PFKFB3,EIF2AK3,TMEM126A,NTRK1,PLAUR,PPM1B,PHLDA2
PPP1R3C,PGM5,EME1,TMEM139,NUSAP1,PLBD1,PREPL,PILRB
PRDX3,PHF1,EMID1,TMEM208,P2RX5,PLLP,PRM3,PLEKHG3
PRM2,PITPNA,EML3,TMEM70,PCDHB11,POFUT2,PRR12,PLXNC1
PRSS8,PKD2L1,ENPP3,TNF,PCLAF,PPARD,PRRC2B,POC1A
